0.0,652.0,1.0
0.0,130.0,4.0
0.0,839.0,5.0
0.0,926.0,2.0
0.0,191.0,3.0
0.0,132.0,2.0
0.0,188.0,3.0
0.0,688.0,2.0
0.0,838.0,5.0
0.0,929.0,4.0
0.0,156.0,4.0
0.0,210.0,4.0
0.0,620.0,4.0
0.0,878.0,3.0
0.0,335.0,4.0
0.0,582.0,3.0
0.0,589.0,1.0
0.0,352.0,3.0
0.0,530.0,5.0
0.0,876.0,4.0
0.0,151.0,1.0
0.0,875.0,1.0
0.0,418.0,4.0
0.0,469.0,4.0
0.0,388.0,5.0
0.0,317.0,4.0
0.0,781.0,3.0
0.0,833.0,4.0
0.0,895.0,1.0
0.0,135.0,5.0
0.0,978.0,4.0
0.0,92.0,4.0
0.0,813.0,2.0
0.0,940.0,5.0
0.0,832.0,2.0
0.0,504.0,5.0
0.0,882.0,2.0
0.0,691.0,2.0
0.0,1.0,3.0
0.0,179.0,3.0
0.0,115.0,5.0
0.0,481.0,4.0
0.0,227.0,1.0
0.0,604.0,2.0
0.0,267.0,4.0
0.0,37.0,2.0
0.0,943.0,4.0
0.0,207.0,2.0
0.0,788.0,4.0
0.0,576.0,5.0
0.0,749.0,3.0
0.0,321.0,1.0
0.0,946.0,2.0
0.0,511.0,3.0
0.0,337.0,5.0
0.0,801.0,4.0
0.0,342.0,2.0
0.0,892.0,3.0
0.0,791.0,5.0
0.0,835.0,3.0
0.0,312.0,3.0
0.0,465.0,4.0
0.0,235.0,1.0
0.0,596.0,2.0
0.0,160.0,1.0
0.0,232.0,4.0
0.0,95.0,1.0
0.0,84.0,3.0
0.0,258.0,4.0
0.0,655.0,1.0
0.0,613.0,1.0
0.0,490.0,5.0
0.0,955.0,4.0
0.0,883.0,4.0
0.0,223.0,3.0
0.0,446.0,2.0
0.0,631.0,3.0
0.0,507.0,1.0
0.0,293.0,3.0
0.0,90.0,4.0
0.0,363.0,3.0
0.0,644.0,1.0
0.0,568.0,3.0
0.0,453.0,1.0
0.0,247.0,4.0
0.0,983.0,4.0
0.0,234.0,2.0
0.0,375.0,1.0
0.0,427.0,5.0
0.0,433.0,5.0
0.0,601.0,5.0
0.0,700.0,3.0
0.0,439.0,4.0
0.0,594.0,3.0
1.0,995.0,3.0
1.0,515.0,4.0
1.0,652.0,4.0
1.0,149.0,5.0
1.0,73.0,3.0
1.0,800.0,3.0
1.0,310.0,5.0
1.0,896.0,4.0
1.0,437.0,3.0
1.0,304.0,3.0
1.0,137.0,3.0
1.0,735.0,4.0
1.0,323.0,5.0
1.0,926.0,3.0
1.0,191.0,3.0
1.0,782.0,4.0
1.0,359.0,4.0
1.0,834.0,3.0
1.0,123.0,5.0
1.0,854.0,5.0
1.0,525.0,5.0
1.0,132.0,3.0
1.0,738.0,4.0
1.0,366.0,4.0
1.0,880.0,5.0
1.0,188.0,5.0
1.0,282.0,4.0
1.0,688.0,3.0
1.0,746.0,3.0
1.0,728.0,3.0
1.0,585.0,3.0
1.0,186.0,5.0
1.0,435.0,3.0
1.0,100.0,4.0
1.0,713.0,3.0
1.0,57.0,2.0
1.0,324.0,3.0
1.0,592.0,4.0
1.0,690.0,5.0
1.0,931.0,5.0
1.0,213.0,3.0
1.0,429.0,5.0
1.0,535.0,4.0
1.0,343.0,4.0
1.0,689.0,4.0
1.0,184.0,3.0
1.0,496.0,3.0
1.0,163.0,4.0
1.0,693.0,4.0
1.0,376.0,4.0
1.0,933.0,4.0
1.0,384.0,5.0
1.0,701.0,4.0
1.0,865.0,3.0
1.0,899.0,4.0
1.0,210.0,3.0
1.0,670.0,5.0
1.0,407.0,3.0
1.0,457.0,3.0
1.0,145.0,3.0
1.0,750.0,4.0
1.0,563.0,4.0
1.0,182.0,1.0
1.0,368.0,4.0
1.0,702.0,4.0
1.0,849.0,3.0
1.0,663.0,5.0
1.0,22.0,3.0
1.0,859.0,3.0
1.0,45.0,4.0
1.0,315.0,2.0
1.0,60.0,4.0
1.0,797.0,4.0
1.0,956.0,5.0
1.0,470.0,4.0
1.0,569.0,4.0
1.0,877.0,3.0
1.0,397.0,5.0
1.0,857.0,5.0
1.0,824.0,2.0
1.0,712.0,3.0
1.0,370.0,4.0
1.0,405.0,3.0
